name,price,image,category
ALL  YOU NEED IS LOVE MINI BACKPACK - THE BEATLES,75.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/TBLBK0010-LFTHEBEATLESMINIBACKPACK1277.png?v=1746107759,LOUNGEFLY
ALL OVER PRINT SLING BAG - DEMON SLAYER,60.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/DMSTB0003-LFANIPLEXINCDEMONSLAYERAOPSLING1013.png?v=1746108521,LOUNGEFLY
ALLISON - THE BREAKFAST CLUB,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/83557_POP_Breakfast-Club_Allison_GLAM-WEB.png?v=1733926946,POP!
ALOLAN RAICHU - POKÉMON,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/85800_Pokemon_S17_Raichu_Alolan_EMEA__POP_GLAM-WEB.png?v=1728488155,POP!
ALPHA GROOT - GUARDIANS OF THE GALAXY VOL. 3,16.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/82141_GOTG3_AlphaGroot_POPSuper_GLAM-WEB.png?v=1715770182,POP!
ALYS RIVERS - HOUSE OF THE DRAGON,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/83463_HotD_AlysRivers_POP_GLAM-WEB.png?v=1741357926,POP!
AMAZING SPIDER-MAN (1977) - MARVEL,11.2,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/84526_Marvel_SpidermanHomeMade_POP_Front-WEB.png?v=1732279368,POP!
AMY - SONIC THE HEDGEHOG BEANBAG PLUSH,4.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/88601_FunkoPlush-Sonic-Amy-6_-GLAM-WEB.png?v=1749654326,"PLUSH 6"""
AMY - SONIC THE HEDGEHOG FUNKO RACERS,4.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/86754_Funko-Racers_Sonic_Amy_GLAM-WEB.png?v=1755680780,FUNKO RACERS
AMY SOSA - SUPERSTORE,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/83969_Superstore_AmySosa_POP_GLAM-WEB.png?v=1742394148,POP!
